timestamp_utc,t_rel_sec,ecg_mV,event
2025-10-16T06:44:43.525545+00:00,0.000000,0.000000,
2025-10-16T06:44:43.530545+00:00,0.005000,0.000000,
2025-10-16T06:44:43.535545+00:00,0.010000,-0.001140,
2025-10-16T06:44:43.540545+00:00,0.015000,0.000760,
2025-10-16T06:44:43.545545+00:00,0.020000,0.012540,
2025-10-16T06:44:43.550545+00:00,0.025000,-0.072200,
2025-10-16T06:44:43.555545+00:00,0.030000,0.027740,
2025-10-16T06:44:43.560545+00:00,0.035000,0.367460,
2025-10-16T06:44:43.565545+00:00,0.040000,-0.606100,
2025-10-16T06:44:43.570545+00:00,0.045000,-1.087940,
2025-10-16T06:44:43.575545+00:00,0.050000,2.215780,
2025-10-16T06:44:43.580545+00:00,0.055000,3.016060,
2025-10-16T06:44:43.585545+00:00,0.060000,-4.674760,
2025-10-16T06:44:43.590545+00:00,0.065000,-10.771860,
2025-10-16T06:44:43.595545+00:00,0.070000,-0.651700,
2025-10-16T06:44:43.600545+00:00,0.075000,22.480040,
2025-10-16T06:44:43.605545+00:00,0.080000,38.093860,
2025-10-16T06:44:43.610545+00:00,0.085000,33.639500,
2025-10-16T06:44:43.615545+00:00,0.090000,19.271320,
2025-10-16T06:44:43.620545+00:00,0.095000,12.414980,
2025-10-16T06:44:43.625545+00:00,0.100000,14.723100,
2025-10-16T06:44:43.630545+00:00,0.105000,16.118460,
2025-10-16T06:44:43.635545+00:00,0.110000,14.698780,
2025-10-16T06:44:43.640545+00:00,0.115000,14.075960,
2025-10-16T06:44:43.645545+00:00,0.120000,13.955120,
2025-10-16T06:44:43.650545+00:00,0.125000,13.543960,
2025-10-16T06:44:43.655545+00:00,0.130000,13.140400,
2025-10-16T06:44:43.660545+00:00,0.135000,12.829940,
2025-10-16T06:44:43.665545+00:00,0.140000,12.710240,
2025-10-16T06:44:43.670545+00:00,0.145000,12.979660,
2025-10-16T06:44:43.675545+00:00,0.150000,13.482400,
2025-10-16T06:44:43.680545+00:00,0.155000,13.372200,
2025-10-16T06:44:43.685545+00:00,0.160000,12.024340,
2025-10-16T06:44:43.690545+00:00,0.165000,10.084060,
2025-10-16T06:44:43.695545+00:00,0.170000,8.788260,
2025-10-16T06:44:43.700545+00:00,0.175000,8.326180,
2025-10-16T06:44:43.705545+00:00,0.180000,7.706020,
2025-10-16T06:44:43.710545+00:00,0.185000,6.394640,
2025-10-16T06:44:43.715545+00:00,0.190000,5.098840,
2025-10-16T06:44:43.720545+00:00,0.195000,4.615480,
2025-10-16T06:44:43.725545+00:00,0.200000,4.638660,
2025-10-16T06:44:43.730545+00:00,0.205000,4.399260,
2025-10-16T06:44:43.735545+00:00,0.210000,3.863840,
2025-10-16T06:44:43.740545+00:00,0.215000,3.485360,
2025-10-16T06:44:43.745545+00:00,0.220000,3.380860,
2025-10-16T06:44:43.750545+00:00,0.225000,3.329180,
2025-10-16T06:44:43.755545+00:00,0.230000,3.208720,
2025-10-16T06:44:43.760545+00:00,0.235000,3.089020,
2025-10-16T06:44:43.765545+00:00,0.240000,3.009600,
2025-10-16T06:44:43.770545+00:00,0.245000,2.935500,
2025-10-16T06:44:43.775545+00:00,0.250000,2.862160,
2025-10-16T06:44:43.780545+00:00,0.255000,2.796800,
2025-10-16T06:44:43.785545+00:00,0.260000,2.728780,
2025-10-16T06:44:43.790545+00:00,0.265000,2.652780,
2025-10-16T06:44:43.795545+00:00,0.270000,2.584380,
2025-10-16T06:44:43.800545+00:00,0.275000,2.532700,
2025-10-16T06:44:43.805545+00:00,0.280000,2.496980,
2025-10-16T06:44:43.810545+00:00,0.285000,2.461640,
2025-10-16T06:44:43.815545+00:00,0.290000,2.420980,
2025-10-16T06:44:43.820545+00:00,0.295000,2.371960,
2025-10-16T06:44:43.825545+00:00,0.300000,2.320660,
2025-10-16T06:44:43.830545+00:00,0.305000,2.266320,
2025-10-16T06:44:43.835545+00:00,0.310000,2.220720,
2025-10-16T06:44:43.840545+00:00,0.315000,2.188040,
2025-10-16T06:44:43.845545+00:00,0.320000,2.158780,
2025-10-16T06:44:43.850545+00:00,0.325000,2.120020,
2025-10-16T06:44:43.855545+00:00,0.330000,2.077840,
2025-10-16T06:44:43.860545+00:00,0.335000,2.045160,
